schemaVersion,recordType,source_name,source_url,company,title,date,is_remote,role_family,collectedAt
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/wpp-production/senior-digital-project-manager-london-345248,WPP Production,Senior Digital Project Manager,2026-08-10T14:45:26+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/oliver-agency/senior-account-manager-london-187820,OLIVER Agency,Senior Account Manager,2026-08-10T14:45:21+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/prolific/remote-engineering-manager-268184,prolific,Engineering Manager,2026-08-10T12:55:57+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/veeamsoftware/lead-account-executive-defense-and-public-uki-london-279263,Veeamsoftware,"Lead Account Executive, Defense and Public UK&I",2026-08-10T12:55:55+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/chaosindustries/senior-software-engineer-london-394281,Chaosindustries,Senior Software Engineer,2026-08-10T12:55:49+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/chaosindustries/forward-deployed-engineer-software-london-171035,Chaosindustries,Forward Deployed Engineer - Software,2026-08-10T12:55:49+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/chaosindustries/cybersecurity-soc-analyst-ii-london-39758,Chaosindustries,Cybersecurity SOC Analyst II,2026-08-10T12:55:48+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/alphasense/account-executive-financial-services-investment-banking-london-greater-london-358059,Alphasense,"Account Executive, Financial Services -  Investment Banking",2026-08-10T12:55:44+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/diligentcorporation/senior-solutions-engineer-london-85613,Diligentcorporation,Senior Solutions Engineer,2026-08-10T12:55:21+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/diligentcorporation/account-executive-nsw-sydney-australia-460781,Diligentcorporation,Account Executive - NSW,2026-08-10T12:55:21+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/diligentcorporation/account-executive-sydney-australia-35938,Diligentcorporation,Account Executive,2026-08-10T12:55:21+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/unity-advisory/fdd-manager-london-348278,Unity Advisory,FDD Manager,2026-08-10T12:40:07+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/marqvision/senior-account-executive-london-96682,Marqvision,Senior Account Executive,2026-08-10T09:55:39+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/fireblocks/senior-qa-engineer-financial-apps-377885,Fireblocks,Senior QA Engineer (Financial Apps),2026-08-10T09:55:06+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/bjak/personal-assistant-london-290057,Bjak,Personal Assistant,2026-08-10T09:40:31+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.co.uk/jobs/companies/lendable/technical-product-manager-superapp-london-371639,Lendable,Technical Product Manager (Superapp),2026-08-10T09:40:15+00:00,False,Engineering,2026-08-10T17:15:17.700073+00:00
