schemaVersion,recordType,source_name,source_url,entityName,employeeCount,collectedAt
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/tule,Tule,8,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/weilos,Weilos,11,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/hellosign,HelloSign,100,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/instapainting,Instapainting,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/doblet,Doblet,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/lattice,Lattice,540,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/partnerstack,PartnerStack,200,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/marketbrief,MarketBrief,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/pagelever,Pagelever,11,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/tinker,Tinker,,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/you-got-listings-inc,You Got Listings,3,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/kiko,Kiko,0,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/interana,Scuba,51,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/roomstorm,Roomstorm,4,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/gigster,Gigster,51,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/l,L.,,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/payable,Payable,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/soundboks,SOUNDBOKS,50,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/owners-circle,Owners Circle,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/appcubator,Appcubator,0,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/reddit,Reddit,2000,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/webcake,WebCake,0,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/audiobeta,Audiobeta,0,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/jopwell,Jopwell,50,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/ross-intelligence,ROSS Intelligence,30,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/sendoid,Sendoid,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/fixed,Fixed,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/tremendous,Tremendous,150,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/start-closing,Start Closing,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/her,HER,10,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/swish,Swish,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/echo-locker,Echo Locker,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/42,42,,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/petasales,PetaSales,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/flagr,Flagr,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/quad,Quad,12,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/flaviar,Flaviar,60,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/kivo,Kivo,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/women-com,Women.com,11,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/mixed-media-labs,Mixed Media Labs,,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/ohlife,OhLife,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/deepgram,Deepgram,115,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/scope-ar,Scope AR,50,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/flytenow,Flytenow,3,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/oolu,Oolu,230,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/paytango,PayTango,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/abacus,Abacus,30,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/verbling,Verbling,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/thunkable,Thunkable,40,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/frogmetrics,Frogmetrics,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/tenant-turner,Tenant Turner,15,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/ixiplay,Ixiplay,2,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/twitch,Twitch,2000,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/weave-2,Weave,11,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/maderight,Maderight,51,2026-08-10T09:46:23.371408+00:00
1.0,STARTUP,ycombinator.com,https://www.ycombinator.com/companies/north,North,51,2026-08-10T09:46:23.371408+00:00
